age_group,diet_name,species_name,model_species_id,objective_reaction_id,median_abundance,normalized_weight,n_subjects,species_biomass_flux,is_growing
41_60,high_fiber,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium_prausnitzii_M21_2__biomass224,4.54764743652073,0.7033860977550948,140,1.0001850640793748,True
41_60,high_fiber,Klebsiella pneumoniae,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578__biomass525,0.0,0.0,140,0.0,False
41_60,high_fiber,Parabacteroides merdae,Parabacteroides_merdae_ATCC_43184,Parabacteroides_merdae_ATCC_43184__biomass536,0.1929094748151095,0.02983737077340298,140,0.0,False
41_60,high_fiber,Ruminococcus torques,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756__biomass525,0.8691279378083465,0.13442829884206192,140,0.0,False
61_70,western,Alistipes onderdonkii,Alistipes_onderdonkii_DSM_19147,Alistipes_onderdonkii_DSM_19147__biomass419,0.0,0.0,57,0.0,False
61_70,western,Alistipes shahii,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301__biomass399,0.0,0.0,57,0.0,False
61_70,western,Bacteroides dorei,Bacteroides_dorei_DSM_17855,Bacteroides_dorei_DSM_17855__biomass536,0.263239371095264,0.03472141413116676,57,0.0,False
61_70,western,Bacteroides xylanisolvens,Bacteroides_xylanisolvens_XB1A,Bacteroides_xylanisolvens_XB1A__biomass525,0.0,0.0,57,0.0,False
61_70,western,Bilophila wadsworthia,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6__biomass525,0.0,0.0,57,0.0,False
61_70,western,Escherichia coli,Escherichia_coli_UTI89_UPEC,Escherichia_coli_UTI89_UPEC__biomass525,0.352563332013605,0.04650329244966298,57,0.0,False
61_70,western,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium_prausnitzii_M21_2__biomass224,6.00005160880284,0.7914100229415298,57,1.1357218037717685,True
61_70,western,Klebsiella pneumoniae,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578__biomass525,0.0,0.0,57,0.0,False
61_70,western,Parabacteroides merdae,Parabacteroides_merdae_ATCC_43184,Parabacteroides_merdae_ATCC_43184__biomass536,0.200210536899317,0.026407877120283457,57,0.0,False
61_70,western,Ruminococcus torques,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756__biomass525,0.765405482461402,0.10095739335735697,57,0.0,False
61_70,high_fiber,Alistipes onderdonkii,Alistipes_onderdonkii_DSM_19147,Alistipes_onderdonkii_DSM_19147__biomass419,0.0,0.0,57,0.0,False
61_70,high_fiber,Alistipes shahii,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301__biomass399,0.0,0.0,57,0.0,False
61_70,high_fiber,Bacteroides dorei,Bacteroides_dorei_DSM_17855,Bacteroides_dorei_DSM_17855__biomass536,0.263239371095264,0.03472141413116676,57,0.0,False
61_70,high_fiber,Bacteroides xylanisolvens,Bacteroides_xylanisolvens_XB1A,Bacteroides_xylanisolvens_XB1A__biomass525,0.0,0.0,57,0.0,False
61_70,high_fiber,Bilophila wadsworthia,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6__biomass525,0.0,0.0,57,0.0,False
61_70,high_fiber,Escherichia coli,Escherichia_coli_UTI89_UPEC,Escherichia_coli_UTI89_UPEC__biomass525,0.352563332013605,0.04650329244966298,57,0.0,False
61_70,high_fiber,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium_prausnitzii_M21_2__biomass224,6.00005160880284,0.7914100229415298,57,1.0001850640793828,True
61_70,high_fiber,Klebsiella pneumoniae,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578__biomass525,0.0,0.0,57,0.0,False
