subject_set,pc,reaction_id,loading,abs_loading,explained_variance_fraction,direction,rank_within_direction
all516,PC2,2INSD,0.06039044505125491,0.06039044505125491,0.053992692145323234,positive,4
all516,PC2,4HPRO_LTtpp,0.06018952530444273,0.06018952530444273,0.053992692145323234,positive,5
all516,PC2,EX_fecrm(e),0.05983018267435666,0.05983018267435666,0.053992692145323234,positive,6
all516,PC2,ARBTtex,0.059411381103051664,0.059411381103051664,0.053992692145323234,positive,7
all516,PC2,ACISNZDppp,0.05915975721044435,0.05915975721044435,0.053992692145323234,positive,8
all516,PC2,Q8tex,0.05903723224852424,0.05903723224852424,0.053992692145323234,positive,9
all516,PC2,MMAtex,0.05883759350438083,0.05883759350438083,0.053992692145323234,positive,10
all516,PC2,ALAPGPL,0.058758820649936386,0.058758820649936386,0.053992692145323234,positive,11
all516,PC2,PSSA120,0.058433697294864514,0.058433697294864514,0.053992692145323234,positive,12
all516,PC2,GUAtex,0.05798150242493213,0.05798150242493213,0.053992692145323234,positive,13
all516,PC2,BILR_M16_GLCAASEepp,0.0575833531185615,0.0575833531185615,0.053992692145323234,positive,14
all516,PC2,GUAt2pp,0.057351544708259476,0.057351544708259476,0.053992692145323234,positive,15
all516,PC2,3HIBUP_Ste,0.056919450159275804,0.056919450159275804,0.053992692145323234,positive,16
all516,PC2,DES_ASTZL_GLCtex,0.05633464015657471,0.05633464015657471,0.053992692145323234,positive,17
all516,PC2,REGFNB_GLCt2pp,0.05632029604082968,0.05632029604082968,0.053992692145323234,positive,18
all516,PC2,NTD2,0.05588356619906348,0.05588356619906348,0.053992692145323234,positive,19
all516,PC2,LPLIPAL1A160,0.0558383223515567,0.0558383223515567,0.053992692145323234,positive,20
all516,PC3,R406te,-0.064976137280684,0.064976137280684,0.04448579752163943,negative,1
all516,PC3,EX_dms(e),-0.06207554689137219,0.06207554689137219,0.04448579752163943,negative,2
all516,PC3,EX_ac5asa(e),-0.06062172622089668,0.06062172622089668,0.04448579752163943,negative,3
all516,PC3,EX_5fura(e),-0.060279447032162814,0.060279447032162814,0.04448579752163943,negative,4
all516,PC3,MAN6Pt6_2pp,-0.05978137503082451,0.05978137503082451,0.04448579752163943,negative,5
all516,PC3,AEPPT,-0.059678456563607055,0.059678456563607055,0.04448579752163943,negative,6
all516,PC3,DMSORdmqpp,-0.05945465561719072,0.05945465561719072,0.04448579752163943,negative,7
all516,PC3,IND3ACtex,-0.059257576464339566,0.059257576464339566,0.04448579752163943,negative,8
all516,PC3,ALPZ_AOHtepp,-0.05915679319486663,0.05915679319486663,0.04448579752163943,negative,9
all516,PC3,BTDt1_RRpp,-0.05897665037102608,0.05897665037102608,0.04448579752163943,negative,10
all516,PC3,HST_3GLC_7S_GLCAASEepp,-0.058711186308936035,0.058711186308936035,0.04448579752163943,negative,11
all516,PC3,HBZOPT,-0.05859770848554901,0.05859770848554901,0.04448579752163943,negative,12
all516,PC3,5OH_SULFP_GLCt2pp,-0.058574634777397376,0.058574634777397376,0.04448579752163943,negative,13
all516,PC3,HDCAt2pp,-0.058253116265639844,0.058253116265639844,0.04448579752163943,negative,14
all516,PC3,ALALEUabc,-0.0576674809766166,0.0576674809766166,0.04448579752163943,negative,15
all516,PC3,2DMMQ8tex,-0.05661149017476394,0.05661149017476394,0.04448579752163943,negative,16
all516,PC3,SFND_1689tex,-0.056530912991172834,0.056530912991172834,0.04448579752163943,negative,17
all516,PC3,PGPP181,-0.056060713349489824,0.056060713349489824,0.04448579752163943,negative,18
all516,PC3,4OH_METHtex,-0.05555033021892486,0.05555033021892486,0.04448579752163943,negative,19
all516,PC3,G3PCT,-0.055484461481497015,0.055484461481497015,0.04448579752163943,negative,20
all516,PC3,MALTHXabcpp,0.062405509126572736,0.062405509126572736,0.04448579752163943,positive,1
all516,PC3,SPZ_SFN_GLC_GLCAASE,0.06063558499400634,0.06063558499400634,0.04448579752163943,positive,2
all516,PC3,DM_5MTR,0.060202933256428295,0.060202933256428295,0.04448579752163943,positive,3
all516,PC3,INULINabc,0.059796039548857566,0.059796039548857566,0.04448579752163943,positive,4
all516,PC3,GLYCK2,0.05898822811132253,0.05898822811132253,0.04448579752163943,positive,5
all516,PC3,AM6tepp,0.058181445435259056,0.058181445435259056,0.04448579752163943,positive,6
all516,PC3,HST_7_GLCtepp,0.057243137488012616,0.057243137488012616,0.04448579752163943,positive,7
all516,PC3,EX_am14(e),0.056863307648952706,0.056863307648952706,0.04448579752163943,positive,8
all516,PC3,5OH_SULFPtex,0.05633381361952864,0.05633381361952864,0.04448579752163943,positive,9
all516,PC3,3HCINNMH,0.056151001362916016,0.056151001362916016,0.04448579752163943,positive,10
all516,PC3,CVM23GLUCtex,0.0560572813808693,0.0560572813808693,0.04448579752163943,positive,11
all516,PC3,SCH_488128t,0.055552853466595775,0.055552853466595775,0.04448579752163943,positive,12
all516,PC3,GLYPHEabcpp,0.05523616926264051,0.05523616926264051,0.04448579752163943,positive,13
all516,PC3,SPZ_GLCt2pp,0.05491817355476063,0.05491817355476063,0.04448579752163943,positive,14
all516,PC3,TSACMGLUCt2pp,0.054886449922385984,0.054886449922385984,0.04448579752163943,positive,15
all516,PC3,DMAtex,0.05488301464577907,0.05488301464577907,0.04448579752163943,positive,16
all516,PC3,6OHFVSGLU_GLCAASEepp,0.054760943252951035,0.054760943252951035,0.04448579752163943,positive,17
all516,PC3,3HIBUPGLU_St2pp,0.05405805572659392,0.05405805572659392,0.04448579752163943,positive,18
all516,PC3,THSACMPtepp,0.0537439510002192,0.0537439510002192,0.04448579752163943,positive,19
all516,PC3,ODSM_GLTMNtex,0.05364361106464849,0.05364361106464849,0.04448579752163943,positive,20
optimal414,PC1,CHORM,-0.05977628286628923,0.05977628286628923,0.1470623047873981,negative,1
optimal414,PC1,PPNDH,-0.05821968657928435,0.05821968657928435,0.1470623047873981,negative,2
optimal414,PC1,NNATr,-0.05818469512409642,0.05818469512409642,0.1470623047873981,negative,3
optimal414,PC1,NADS1,-0.05811458838389854,0.05811458838389854,0.1470623047873981,negative,4
optimal414,PC1,DASYNAI17,-0.057570812318878506,0.057570812318878506,0.1470623047873981,negative,5
optimal414,PC1,DASYNI17,-0.057570812318878506,0.057570812318878506,0.1470623047873981,negative,6
optimal414,PC1,PGPPAI17,-0.05756927299107811,0.05756927299107811,0.1470623047873981,negative,7
optimal414,PC1,PGPPI17,-0.05756927299107811,0.05756927299107811,0.1470623047873981,negative,8
optimal414,PC1,PGSAAI17,-0.05756927299107811,0.05756927299107811,0.1470623047873981,negative,9
optimal414,PC1,PGSAI17,-0.05756927299107811,0.05756927299107811,0.1470623047873981,negative,10
optimal414,PC1,CLPNSI17,-0.05756745769646249,0.05756745769646249,0.1470623047873981,negative,11
optimal414,PC1,CLPNS180,-0.05756745769646248,0.05756745769646248,0.1470623047873981,negative,12
optimal414,PC1,CLPNSAI17,-0.05756745769646248,0.05756745769646248,0.1470623047873981,negative,13
optimal414,PC1,PSD180,-0.057567457696462473,0.057567457696462473,0.1470623047873981,negative,14
optimal414,PC1,PSDAI17,-0.057567457696462473,0.057567457696462473,0.1470623047873981,negative,15
optimal414,PC1,PSDI17,-0.057567457696462473,0.057567457696462473,0.1470623047873981,negative,16
optimal414,PC1,PSSA180,-0.057567457696462473,0.057567457696462473,0.1470623047873981,negative,17
optimal414,PC1,PSSAAI17,-0.057567457696462473,0.057567457696462473,0.1470623047873981,negative,18
optimal414,PC1,PSSAI17,-0.057567457696462473,0.057567457696462473,0.1470623047873981,negative,19
optimal414,PC1,3HAD12M14,-0.056886831290828034,0.056886831290828034,0.1470623047873981,negative,20
optimal414,PC1,PHETA1,0.05821968657928435,0.05821968657928435,0.1470623047873981,positive,1
optimal414,PC1,EX_ocdca(e),0.0567072882047936,0.0567072882047936,0.1470623047873981,positive,2
optimal414,PC1,TYRTA,0.05642838684320417,0.05642838684320417,0.1470623047873981,positive,3
optimal414,PC1,EX_fe2(e),0.054988149788642735,0.054988149788642735,0.1470623047873981,positive,4
optimal414,PC1,EX_cu2(e),0.054882942934784316,0.054882942934784316,0.1470623047873981,positive,5
optimal414,PC1,EX_ca2(e),0.054882942934784275,0.054882942934784275,0.1470623047873981,positive,6
optimal414,PC1,EX_cl(e),0.054882942934784275,0.054882942934784275,0.1470623047873981,positive,7
optimal414,PC1,EX_cobalt2(e),0.054882942934784275,0.054882942934784275,0.1470623047873981,positive,8
optimal414,PC1,EX_mg2(e),0.054882942934784275,0.054882942934784275,0.1470623047873981,positive,9
optimal414,PC1,EX_mn2(e),0.054882942934784275,0.054882942934784275,0.1470623047873981,positive,10
optimal414,PC1,EX_zn2(e),0.054882942934784275,0.054882942934784275,0.1470623047873981,positive,11
optimal414,PC1,EX_k(e),0.054882942934784254,0.054882942934784254,0.1470623047873981,positive,12
optimal414,PC1,EX_fe3(e),0.05379856504135075,0.05379856504135075,0.1470623047873981,positive,13
optimal414,PC1,ADK10,0.052003737655248954,0.052003737655248954,0.1470623047873981,positive,14
optimal414,PC1,EX_pydx(e),0.051073642233919456,0.051073642233919456,0.1470623047873981,positive,15
optimal414,PC1,EX_fol(e),0.05051714931982718,0.05051714931982718,0.1470623047873981,positive,16
optimal414,PC1,AMMQT8r,0.05051438034268825,0.05051438034268825,0.1470623047873981,positive,17
optimal414,PC1,EX_spmd(e),0.05051343838775794,0.05051343838775794,0.1470623047873981,positive,18
optimal414,PC1,r1384,0.05003382532765457,0.05003382532765457,0.1470623047873981,positive,19
optimal414,PC1,ASAD,0.045293255534487285,0.045293255534487285,0.1470623047873981,positive,20
optimal414,PC2,EX_dcyt(e),-0.05901643097480865,0.05901643097480865,0.13185962045817162,negative,1
optimal414,PC2,TRDRr,-0.05781269870039583,0.05781269870039583,0.13185962045817162,negative,2
optimal414,PC2,EX_acald(e),-0.051159309893015266,0.051159309893015266,0.13185962045817162,negative,3
optimal414,PC2,MGt5pp,-0.05097147021085189,0.05097147021085189,0.13185962045817162,negative,4
optimal414,PC2,COBALTt5pp,-0.05091328364866878,0.05091328364866878,0.13185962045817162,negative,5
optimal414,PC2,OCBT,-0.050718988070282314,0.050718988070282314,0.13185962045817162,negative,6
optimal414,PC2,NTD3,-0.05055589133204137,0.05055589133204137,0.13185962045817162,negative,7
optimal414,PC2,URIt2rpp,-0.050487922907774305,0.050487922907774305,0.13185962045817162,negative,8
