subject_set,reaction_id,reaction_token_group,taxon_id,species_name,paper_taxon,n_subjects_in_set,n_subjects_with_flux,fraction_subjects_with_flux,median_signed_flux,median_abs_flux,total_abs_flux,fraction_of_total_abs_flux,selected_from_pcs,selected_directions,max_abs_loading
all516,3HIBUPGLU_St2pp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,77,0.14922480620155038,-0.1166539569273896,0.1166539569273896,28.08228134859551,0.00543390226585796,PC3,positive,0.05405805572659392
all516,3HIBUPGLU_St2pp,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,69,0.13372093023255813,-0.1376733988090728,0.1376733988090728,23.471296553347905,0.00454167985644229,PC3,positive,0.05405805572659392
all516,3HIBUPGLU_St2pp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,56,0.10852713178294572,0.13431119817120096,0.14907622440845775,19.370392209166997,0.00374815766601577,PC3,positive,0.05405805572659392
all516,3HIBUP_Ste,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,74,0.1434108527131783,0.1503709439311251,0.1503709439311251,364465.04862344946,1,PC2,positive,0.056919450159275804
all516,3HIBUP_Stex,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,56,0.10852713178294572,-0.00580881117819345,0.08506162527508684,551112.076310849,0.9998691450295508,PC2,negative,0.05489002121243817
all516,3HIBUP_Stex,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,62,0.12015503875968991,0.14380602588862,0.14380602588862,42.51315537726272,7.713057678597513e-5,PC2,negative,0.05489002121243817
all516,3HIBUP_Stex,NA,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,64,0.12403100775193798,3.8076295666428e-4,0.05314250449436165,20.884276763635715,3.788983194126006e-5,PC2,negative,0.05489002121243817
all516,3HIBUP_Stex,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,2,0.00387596899224806,-4.363880129420621,4.363880129420621,8.727760258841242,1.5834561721903415e-5,PC2,negative,0.05489002121243817
all516,3MEACMPte,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,71,0.1375968992248062,0.1127291860419155,0.1127291860419155,23.287410138335964,1,PC1,positive,0.03567728003364939
all516,3OAS121,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,74,0.1434108527131783,-0.1165359200249498,0.1165359200249498,23.75479122846338,1,PC1,negative,0.03598790674482394
all516,3OH_DLORte,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,72,0.13953488372093023,0.1714769750522367,0.1714769750522367,28.89606638155014,1,PC1,positive,0.03593091700222212
all516,3OH_MDEA_GLCt,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,47,0.09108527131782944,-0.1293458699062657,0.1293458699062657,17.86590237761571,1,PC1,negative,0.0346990339454422
all516,3OH_MXNtepp,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,58,0.1124031007751938,-0.1555401982901685,0.1555401982901685,275964.8841081645,0.9999226125776908,PC2,negative,0.0573280543676056
all516,3OH_MXNtepp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,53,0.10271317829457365,-0.0753490016157091,0.0753490016157091,21.14545824261547,7.661779837836613e-5,PC2,negative,0.0573280543676056
all516,3OH_MXNtepp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,2,0.00387596899224806,-0.1062028082079754,0.1062028082079754,0.2124056164159508,7.696239308823305e-7,PC2,negative,0.0573280543676056
all516,4HPRO_LTtpp,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,59,0.11434108527131782,0.1375029620367549,0.1375029620367549,445319.859087331,0.9999390869208344,PC2,positive,0.06018952530444273
all516,4HPRO_LTtpp,NA,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,60,0.11627906976744186,-0.1255359294306537,0.1255359294306537,27.1274562474387,6.091307916548393e-5,PC2,positive,0.06018952530444273
all516,4OH_METH_GLCtex,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,60,0.11627906976744186,0.1418418249534023,0.1418418249534023,23.016505360885876,0.36194910961880494,PC1,positive,0.0371899502362163
all516,4OH_METH_GLCtex,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,75,0.1453488372093023,0.1155825769323548,0.1155825769323548,21.784630616032135,0.3425770998340605,PC1,positive,0.0371899502362163
all516,4OH_METH_GLCtex,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,54,0.10465116279069768,0.18374957865927757,0.18374957865927757,18.789310163773536,0.2954737905471346,PC1,positive,0.0371899502362163
all516,4OH_METHtepp,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,67,0.12984496124031009,0.1551223516862183,0.1551223516862183,35.23112706702577,0.5803570300566245,PC1,positive,0.03503573053371718
all516,4OH_METHtepp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,73,0.1414728682170543,0.1272325165801284,0.1272325165801284,25.450423697507844,0.4192409820630615,PC1,positive,0.03503573053371718
all516,4OH_METHtepp,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,2,0.00387596899224806,-0.01220152884971965,0.01220152884971965,0.0244030576994393,4.01987880314e-4,PC1,positive,0.03503573053371718
all516,4OH_METHtex,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,63,0.12209302325581396,0.1737592621004869,0.1737592621004869,11541.42046152052,0.994213440695574,PC3,negative,0.05555033021892486
all516,4OH_METHtex,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,71,0.1375968992248062,9.25593802354e-4,0.0705860768296862,25.52198291062336,0.00219854207092993,PC3,negative,0.05555033021892486
all516,4OH_METHtex,NA,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,58,0.1124031007751938,-0.02595940126342925,0.14335419917262093,21.732812018667843,0.00187213124113349,PC3,negative,0.05555033021892486
all516,4OH_METHtex,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,55,0.1065891472868217,0.0013963322286394,0.0988230344834869,19.919024317389,0.00171588599236259,PC3,negative,0.05555033021892486
all516,4OH_PROPL_GLCt2pp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,53,0.10271317829457365,0.0844063288243439,0.0844063288243439,22.43489478360117,0.4344120516002839,PC1,positive,0.03572591546260935
all516,4OH_PROPL_GLCt2pp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,74,0.1434108527131783,0.09155436625526275,0.09155436625526275,15.803097606649638,0.3059990304907617,PC1,positive,0.03572591546260935
all516,4OH_PROPL_GLCt2pp,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,61,0.1182170542635659,0.0915952313254475,0.0915952313254475,13.267321665867357,0.256898215021858,PC1,positive,0.03572591546260935
all516,4OH_PROPL_GLCt2pp,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,1,0.00193798449612403,0.1389593956787471,0.1389593956787471,0.1389593956787471,0.00269070288709642,PC1,positive,0.03572591546260935
all516,56DFURADH,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,66,0.12790697674418605,0.13657866586497724,0.13657866586497724,21.826826993412205,1,PC1,positive,0.03489169628225249
all516,5MTHCYST,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,66,0.12790697674418605,-0.1805581270776026,0.1805581270776026,31.55660409625715,0.609210620594706,PC1,negative,0.034711213695072594
all516,5MTHCYST,NA,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,46,0.08914728682170543,-0.15647620206582225,0.15647620206582225,20.24256523774408,0.390789379405294,PC1,negative,0.034711213695072594
all516,5OH_SULFP_GLCt2pp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,57,0.11046511627906976,-1.222225010441e-4,0.0369246428335607,53502.66480472145,0.9993866243001216,PC3,negative,0.058574634777397376
all516,5OH_SULFP_GLCt2pp,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,59,0.11434108527131782,-0.0922153373781794,0.093102541157653,32.837376118523125,6.1337569987856e-4,PC3,negative,0.058574634777397376
all516,5OH_SULFPtex,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,53,0.10271317829457365,-0.1426468111713701,0.1426468111713701,8217.762667838944,0.993964164769981,PC3,positive,0.05633381361952864
all516,5OH_SULFPtex,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,75,0.1453488372093023,0.1364365374140094,0.1364365374140094,25.361016723262708,0.00306749450233081,PC3,positive,0.05633381361952864
all516,5OH_SULFPtex,NA,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,62,0.12015503875968991,-1.1547467031648e-4,0.05388919545129755,24.228420629364468,0.00293050345306394,PC3,positive,0.05633381361952864
all516,5OH_SULFPtex,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,1,0.00193798449612403,0.3128259085010147,0.3128259085010147,0.3128259085010147,3.783727462445567e-5,PC3,positive,0.05633381361952864
all516,6OHFVSGLU_GLCAASEepp,NA,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,63,0.12209302325581396,0.0092728173010894,0.10146648874434,35669.54375823417,0.9999891683477466,PC3,positive,0.054760943252951035
all516,6OHFVSGLU_GLCAASEepp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,1,0.00193798449612403,-0.2981164451955367,0.2981164451955367,0.2981164451955367,8.357640291741975e-6,PC3,positive,0.054760943252951035
all516,6OHFVSGLU_GLCAASEepp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,2,0.00387596899224806,0.03711682426177655,0.04412391689913445,0.0882478337982689,2.474011961760785e-6,PC3,positive,0.054760943252951035
all516,6OHFVStepp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,78,0.1511627906976744,-0.05854159549203305,0.05854159549203305,26.68115247215795,0.3594059108878882,PC1,negative,0.03484899632378221
all516,6OHFVStepp,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,67,0.12984496124031009,-0.1580129665663203,0.1580129665663203,25.996372954660195,0.35018165393345296,PC1,negative,0.03484899632378221
all516,6OHFVStepp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,55,0.1065891472868217,-0.1129770763605768,0.1129770763605768,21.559296127518433,0.2904124351786588,PC1,negative,0.03484899632378221
all516,7BHGLZGLCt,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,69,0.13372093023255813,-0.1623811072414245,0.1623811072414245,29.944713311998385,1,PC1,negative,0.03619111546238849
all516,ACACT4r,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,67,0.12984496124031009,-0.1631964824367535,0.1631964824367535,24.380895026751283,0.5696695482719297,PC1,negative,0.03598200183525517
all516,ACACT4r,NA,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,47,0.09108527131782944,-0.1206042137831784,0.1206042137831784,17.590983002444315,0.41102048672398295,PC1,negative,0.03598200183525517
all516,ACACT4r,NA,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,516,6,0.01162790697674418,-0.0727952104763352,0.0727952104763352,0.8264339056967899,0.01930996500408744,PC1,negative,0.03598200183525517
all516,ACACT7r,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,70,0.13565891472868216,-0.00270651516667335,0.03505695214679184,1272670.2306476713,0.999966499163137,PC2,negative,0.05800915757702058
all516,ACACT7r,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,78,0.1511627906976744,0.0032485397575319,0.0244795078480518,41.026221231436374,3.223525295929484e-5,PC2,negative,0.05800915757702058
