subject_set,reaction_id,reaction_token_group,taxon_id,species_name,paper_taxon,n_subjects_in_set,n_subjects_with_flux,fraction_subjects_with_flux,median_signed_flux,median_abs_flux,total_abs_flux,fraction_of_total_abs_flux
all516,GLUABUTt7pp,butyrate,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,2,0.00387596899224806,-0.0125471320532251,0.0125471320532251,0.0250942641064502,1.3097039127355e-4
all516,ISOBUTt2rpp,butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,56,0.10852713178294572,-0.1147987948169083,0.12272659888611986,2866.8106327444943,0.9809668942806498
all516,ISOBUTt2rpp,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,79,0.15310077519379844,-0.2158667750750713,0.2158667750750713,32.70809505188938,0.01119207458435147
all516,ISOBUTt2rpp,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,67,0.12984496124031009,-0.1269284744590985,0.1269284744590985,22.914893010715847,0.00784103113499883
all516,ISOBUTtex,butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,55,0.1065891472868217,0.1069352416731706,0.1103089110177242,43.3772619834325,0.4297364466204736
all516,ISOBUTtex,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,81,0.1569767441860465,-0.2028626807848734,0.2138926059939704,31.531958947815287,0.31238559958884077
all516,ISOBUTtex,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,67,0.12984496124031009,-0.1016467602119246,0.1016467602119246,26.029999664443505,0.2578779537906857
all516,PBUTT,butyrate,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,78,0.1511627906976744,-3.6280472382325e-4,0.04191177244843284,50.51210157156845,0.4866128434360978
all516,PBUTT,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,62,0.12015503875968991,-0.14704213873153665,0.14704213873153665,35.90068962648284,0.34585250102309645
all516,PBUTT,butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,55,0.1065891472868217,-1.083857606123e-4,0.045477690223464,15.567307350520071,0.14996904620464432
all516,PBUTT,butyrate,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,516,6,0.01162790697674418,-0.23084390399892404,0.23084390399892404,1.82142488747403,0.01754685938662066
all516,PBUTT,butyrate,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,516,1,0.00193798449612403,0.0019463098198989,0.0019463098198989,0.0019463098198989,1.8749949540838213e-5
all516,ACCOALYS2,lysine,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,73,0.1414728682170543,0.1287939498327235,0.1287939498327235,20.588480704413097,0.99903327102308
all516,ACCOALYS2,lysine,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,516,1,0.00193798449612403,-0.019922740778523,0.019922740778523,0.019922740778523,9.6672897691991e-4
