age_group,diet_name,taxon_id,species_name,paper_taxon,n_subjects_total,n_subjects_growing,growth_prevalence_fraction,mean_growth_rate,median_growth_rate
81_90,western,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,169,115,0.6804733727810651,0.10920359931583408,0.030082538920263625
91_100,high_fiber,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,26,14,0.5384615384615384,0.14256902966618729,0.0018417410754651303
91_100,high_fiber,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,26,11,0.4230769230769231,0.01566361673593237,0.0
91_100,high_fiber,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,26,17,0.6538461538461539,0.2066761969212464,0.03898006985422564
91_100,high_fiber,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,26,14,0.5384615384615384,0.12129078100609532,0.0053913080422934405
91_100,high_fiber,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,26,1,0.038461538461538464,0.0004744517414351232,0.0
91_100,high_fiber,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,26,25,0.9615384615384616,0.3653302904816862,0.37788215294943195
91_100,high_fiber,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,26,15,0.5769230769230769,0.22294244806979174,0.017814565682777738
91_100,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,26,12,0.46153846153846156,0.26880762415713455,0.0
91_100,high_fiber,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,26,15,0.5769230769230769,0.2095556177936473,0.026992135998332483
91_100,high_fiber,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,26,16,0.6153846153846154,0.07032386177364722,0.013475872051803483
91_100,western,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,26,14,0.5384615384615384,0.16712279533692848,0.003509856679007366
91_100,western,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,26,11,0.4230769230769231,0.024439120630403155,0.0
91_100,western,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,26,17,0.6538461538461539,0.24477023008651155,0.04430056708070362
91_100,western,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,26,14,0.5384615384615384,0.13948722267902944,0.00621162585402839
91_100,western,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,26,1,0.038461538461538464,0.0005788716935423786,0.0
91_100,western,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,26,25,0.9615384615384616,0.42407187279530745,0.4236752918444382
91_100,western,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,26,15,0.5769230769230769,0.26170119953395815,0.020881391396737857
91_100,western,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,26,12,0.46153846153846156,0.3057070712058875,0.0
91_100,western,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,26,15,0.5769230769230769,0.2518329344510294,0.03112091240900554
91_100,western,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,26,16,0.6153846153846154,0.08274974660386675,0.017050511403007857
