age_group,diet_name,n_subjects,community_growth_rate_mean,community_growth_rate_median,community_growth_rate_q1,community_growth_rate_q3,community_growth_rate_min,community_growth_rate_max
71_80,high_fiber,20,0.5089428548377812,0.5013371409838151,0.40584415194460305,0.5790910234638991,0.28097439226187104,0.7937061724281207
71_80,western,20,0.6019153269756454,0.5912325390526593,0.4970527451702914,0.6873483388477901,0.3539588042289004,0.9037468420006066
81_90,high_fiber,169,0.4932490306989927,0.4875701549297144,0.4076551883751231,0.5608224906056062,0.12516850223534848,0.8831069173334676
81_90,western,169,0.5784384828472702,0.5795190175741535,0.4965095768285871,0.6463580371322228,0.159200138975441,0.9625920735501088
91_100,high_fiber,26,0.462419733365978,0.4424713608014934,0.3969626936418586,0.486746755080655,0.3365576605739865,0.8423189269512333
91_100,western,26,0.5374148147973131,0.5434609250732435,0.447111440338381,0.575785513640289,0.3271809854605288,0.9309811817522098
