age_group,diet_name,species_name,cobra_is_growing,cobra_growth_flux,cobra_normalized_weight,micom_is_growing,micom_growth_rate,micom_normalized_weight
21_40,high_fiber,Alistipes shahii,False,0.0,0.020866201899815737,True,0.020564365503397467,0.020866201899815737
21_40,high_fiber,Bacteroides dorei,False,0.0,0.03861666139206421,True,0.030509539064285156,0.03861666139206421
21_40,high_fiber,Escherichia coli,False,0.0,0.047443550905984885,True,0.037483319908676094,0.047443550905984885
21_40,high_fiber,Faecalibacterium prausnitzii,True,1.0001850640793903,0.7654446774581458,True,0.604748631484194,0.7654446774581458
21_40,high_fiber,Parabacteroides merdae,False,0.0,0.035035525166813464,True,0.027676984038509996,0.035035525166813464
21_40,high_fiber,Ruminococcus torques,False,0.0,0.0925933831771759,True,0.07315450294322616,0.0925933831771759
21_40,western,Alistipes shahii,False,0.0,0.020866201899815737,True,0.02452906946588816,0.020866201899815737
21_40,western,Bacteroides dorei,False,0.0,0.03861666139206421,True,0.03653265942630416,0.03861666139206421
21_40,western,Escherichia coli,False,0.0,0.047443550905984885,True,0.04488332437759974,0.047443550905984885
21_40,western,Faecalibacterium prausnitzii,True,1.1357218037717978,0.7654446774581458,True,0.7241386976389013,0.7654446774581458
21_40,western,Parabacteroides merdae,False,0.0,0.035035525166813464,True,0.03313603519263693,0.035035525166813464
21_40,western,Ruminococcus torques,False,0.0,0.0925933831771759,True,0.08759671691258981,0.0925933831771759
41_60,high_fiber,Bacteroides dorei,False,0.0,0.02145803963420446,True,0.020068622994309376,0.02145803963420446
41_60,high_fiber,Escherichia coli,False,0.0,0.11089019299523582,True,0.10371266051360395,0.11089019299523582
41_60,high_fiber,Faecalibacterium prausnitzii,True,1.0001850640793748,0.7033860977550948,True,0.657856982732738,0.7033860977550948
41_60,high_fiber,Parabacteroides merdae,False,0.0,0.02983737077340298,True,0.027897688088100864,0.02983737077340298
41_60,high_fiber,Ruminococcus torques,False,0.0,0.13442829884206192,True,0.12572721720888105,0.13442829884206192
41_60,western,Bacteroides dorei,False,0.0,0.02145803963420446,True,0.023902314094401026,0.02145803963420446
41_60,western,Escherichia coli,False,0.0,0.11089019299523582,True,0.12351592668316777,0.11089019299523582
41_60,western,Faecalibacterium prausnitzii,True,1.1357218037717836,0.7033860977550948,True,0.7834757302821141,0.7033860977550948
41_60,western,Parabacteroides merdae,False,0.0,0.02983737077340298,True,0.033236246034752635,0.02983737077340298
41_60,western,Ruminococcus torques,False,0.0,0.13442829884206192,True,0.14973408391550236,0.13442829884206192
61_70,high_fiber,Bacteroides dorei,False,0.0,0.03472141413116676,True,0.02541268214011973,0.03472141413116676
61_70,high_fiber,Escherichia coli,False,0.0,0.04650329244966298,True,0.03403006214525631,0.04650329244966298
61_70,high_fiber,Faecalibacterium prausnitzii,True,1.0001850640793828,0.7914100229415298,True,0.5791489253791029,0.7914100229415298
61_70,high_fiber,Parabacteroides merdae,False,0.0,0.026407877120283457,True,0.019300636554082064,0.026407877120283457
61_70,high_fiber,Ruminococcus torques,False,0.0,0.10095739335735697,True,0.07387980503181688,0.10095739335735697
61_70,western,Bacteroides dorei,False,0.0,0.03472141413116676,True,0.0305407808239657,0.03472141413116676
61_70,western,Escherichia coli,False,0.0,0.04650329244966298,True,0.04090482211310121,0.04650329244966298
61_70,western,Faecalibacterium prausnitzii,True,1.1357218037717685,0.7914100229415298,True,0.696129523940996,0.7914100229415298
61_70,western,Parabacteroides merdae,False,0.0,0.026407877120283457,True,0.0232202961098264,0.026407877120283457
61_70,western,Ruminococcus torques,False,0.0,0.10095739335735697,True,0.08880307475680327,0.10095739335735697
71_80,high_fiber,Alistipes onderdonkii,False,0.0,0.13809566644752075,True,0.27798883125523394,0.13809566644752075
71_80,high_fiber,Bacteroides dorei,False,0.0,0.11231063992633336,True,0.22608297400049684,0.11231063992633336
71_80,high_fiber,Bacteroides xylanisolvens,False,0.0,0.006837223845823357,True,0.013762588075127653,0.006837223845823357
71_80,high_fiber,Escherichia coli,True,2.1881921069284638,0.44880245820358505,True,0.9034459406069258,0.44880245820358505
71_80,high_fiber,Faecalibacterium prausnitzii,False,0.0,0.23708109885902381,True,0.47724777049966,0.23708109885902381
71_80,high_fiber,Klebsiella pneumoniae,False,0.0,0.01344276333405167,True,0.027433325293073577,0.01344276333405167
71_80,high_fiber,Ruminococcus torques,False,0.0,0.04343014938366204,True,0.08742553048869378,0.04343014938366204
71_80,western,Alistipes onderdonkii,False,0.0,0.13809566644752075,True,0.33069596751584307,0.13809566644752075
71_80,western,Bacteroides dorei,False,0.0,0.11231063992633336,True,0.26894911377306957,0.11231063992633336
71_80,western,Bacteroides xylanisolvens,False,0.0,0.006837223845823357,True,0.016388055720620544,0.006837223845823357
71_80,western,Escherichia coli,True,2.1881921069301145,0.44880245820358505,True,1.0747416099618725,0.44880245820358505
71_80,western,Faecalibacterium prausnitzii,False,0.0,0.23708109885902381,True,0.5677348635955582,0.23708109885902381
71_80,western,Klebsiella pneumoniae,False,0.0,0.01344276333405167,True,0.03261734907390693,0.01344276333405167
71_80,western,Ruminococcus torques,False,0.0,0.04343014938366204,True,0.10400171200536479,0.04343014938366204
81_90,high_fiber,Alistipes onderdonkii,False,0.0,0.0935167846458735,True,0.3569834825267929,0.0935167846458735
81_90,high_fiber,Alistipes shahii,False,0.0,0.04305896382404744,True,0.1367846080480598,0.04305896382404744
81_90,high_fiber,Bacteroides dorei,False,0.0,0.12785789001261408,True,0.48807442795019745,0.12785789001261408
81_90,high_fiber,Bacteroides xylanisolvens,False,0.0,0.03371185296260619,True,0.1286882067724728,0.03371185296260619
81_90,high_fiber,Escherichia coli,True,1.741746021629196,0.24556242903190081,True,0.9373903122442451,0.24556242903190081
81_90,high_fiber,Faecalibacterium prausnitzii,True,0.49133132524398043,0.23524420230319645,True,0.8980002637528547,0.23524420230319645
81_90,high_fiber,Klebsiella pneumoniae,False,0.0,0.03257838666029367,True,0.12436212511298861,0.03257838666029367
81_90,high_fiber,Parabacteroides merdae,False,0.0,0.13039713882501167,True,0.49776750320382357,0.13039713882501167
81_90,high_fiber,Ruminococcus torques,False,0.0,0.058072351734456205,True,0.2216807311687984,0.058072351734456205
81_90,western,Alistipes onderdonkii,False,0.0,0.0935167846458735,True,0.40795785183188243,0.0935167846458735
81_90,western,Alistipes shahii,False,0.0,0.04305896382404744,True,0.19455558007303436,0.04305896382404744
81_90,western,Bacteroides dorei,False,0.0,0.12785789001261408,True,0.5577669063821286,0.12785789001261408
81_90,western,Bacteroides xylanisolvens,False,0.0,0.03371185296260619,True,0.14705449752655825,0.03371185296260619
81_90,western,Escherichia coli,True,1.5728786609825494,0.24556242903190081,True,1.071241987532415,0.24556242903190081
81_90,western,Faecalibacterium prausnitzii,True,0.6771764403144233,0.23524420230319645,True,1.0262227911126112,0.23524420230319645
81_90,western,Klebsiella pneumoniae,False,0.0,0.03257838666029367,True,0.14211994793881383,0.03257838666029367
81_90,western,Parabacteroides merdae,False,0.0,0.13039713882501167,True,0.5688448846794165,0.13039713882501167
81_90,western,Ruminococcus torques,False,0.0,0.058072351734456205,True,0.25333484775897985,0.058072351734456205
