age_group,diet_name,taxon_id,species_name,paper_taxon,median_abundance,normalized_weight,n_subjects,growth_rate,is_growing,reactions,metabolites
71_80,western,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,0.226810889703115,0.01344276333405167,33,0.032677103884216734,True,2113,1667
71_80,western,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.732768298962431,0.04343014938366204,33,0.10400159041457123,True,998,907
71_80,high_fiber,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,2.32999720316183,0.13809566644752075,33,0.2779895085454671,True,1189,1105
71_80,high_fiber,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,1.89494343772994,0.11231063992633336,33,0.22608367382295952,True,2115,1834
71_80,high_fiber,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,0.115359973618099,0.006837223845823357,33,0.01376393279575505,True,2657,2163
71_80,high_fiber,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,7.57234820821766,0.44880245820358505,33,0.9034487840843749,True,3198,2562
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,4.00011319308113,0.23708109885902381,33,0.47724916445034327,True,2046,1734
71_80,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,0.226810889703115,0.01344276333405167,33,0.027291805160428492,True,2113,1667
71_80,high_fiber,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.732768298962431,0.04343014938366204,33,0.08742580912516529,True,998,907
81_90,western,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,0.494620476895701,0.0935167846458735,169,0.40796956438158094,True,1189,1105
81_90,western,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,0.227743557500775,0.04305896382404744,169,0.19401000006741348,True,2434,2022
81_90,western,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,0.676254329876683,0.12785789001261408,169,0.5577825917086925,True,2115,1834
81_90,western,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,0.178305668362581,0.03371185296260619,169,0.14706926524483055,True,2657,2163
81_90,western,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,1.29880647859491,0.24556242903190081,169,1.0712676356776056,True,3198,2562
81_90,western,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,1.24423225168371,0.23524420230319645,169,1.026287353994707,True,2046,1734
81_90,western,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,0.17231064142578,0.03257838666029367,169,0.14212392807841878,True,2113,1667
81_90,western,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,0.68968469388354,0.13039713882501167,169,0.5688300862361187,True,2495,2170
81_90,western,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.307151004155264,0.058072351734456205,169,0.2533419925943485,True,998,907
81_90,high_fiber,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,0.494620476895701,0.0935167846458735,169,0.3570115403272018,True,1189,1105
81_90,high_fiber,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,0.227743557500775,0.04305896382404744,169,0.13678460804805986,True,2434,2022
81_90,high_fiber,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,0.676254329876683,0.12785789001261408,169,0.48811278700306343,True,2115,1834
81_90,high_fiber,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,0.178305668362581,0.03371185296260619,169,0.12869857973393273,True,2657,2163
81_90,high_fiber,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,1.29880647859491,0.24556242903190081,169,0.9374639686320118,True,3198,2562
81_90,high_fiber,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,1.24423225168371,0.23524420230319645,169,0.8980705138209796,True,2046,1734
81_90,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,0.17231064142578,0.03257838666029367,169,0.12437189775042638,True,2113,1667
81_90,high_fiber,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,0.68968469388354,0.13039713882501167,169,0.4978066723709309,True,2495,2170
81_90,high_fiber,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.307151004155264,0.058072351734456205,169,0.22169815146104277,True,998,907
91_100,western,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,0.1029047610133115,0.021459693149625217,26,0.031572627759787246,True,1189,1105
91_100,western,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,0.3844120975124675,0.08016505334047899,26,0.11794304237719705,True,2115,1834
91_100,western,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,0.1419470553660855,0.029601548282639865,26,0.04355184097685706,True,2657,2163
91_100,western,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,2.9925055309205,0.6240551924881601,26,0.9181426752530082,True,3198,2562
91_100,western,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,0.4734858460316575,0.09874043597667631,26,0.14527233974330794,True,2046,1734
91_100,western,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,0.5053778563122384,0.10539117543524643,26,0.1550611071761169,True,2495,2170
91_100,western,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.19462465526523798,0.04058690132717304,26,0.05971358514335276,True,998,907
91_100,high_fiber,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,0.1029047610133115,0.021459693149625217,26,0.027448648701895274,True,1189,1105
91_100,high_fiber,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,0.3844120975124675,0.08016505334047899,26,0.10253682867489608,True,2115,1834
91_100,high_fiber,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,0.1419470553660855,0.029601548282639865,26,0.03786673755428067,True,2657,2163
91_100,high_fiber,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,2.9925055309205,0.6240551924881601,26,0.7982126102983604,True,3198,2562
91_100,high_fiber,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,0.4734858460316575,0.09874043597667631,26,0.12629495457546913,True,2046,1734
91_100,high_fiber,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,0.5053778563122384,0.10539117543524643,26,0.13480355602718974,True,2495,2170
91_100,high_fiber,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.19462465526523798,0.04058690132717304,26,0.05191365561444837,True,998,907
