subject_id,community_growth_rate_pfba,community_growth_rate_no_pfba,objective_value_pfba,objective_value_no_pfba,max_abs_flux_pfba,max_abs_flux_no_pfba,n_rxn_over_1k_pfba,n_rxn_over_1k_no_pfba,n_medium_over_1k_pfba,n_medium_over_1k_no_pfba,n_internal_over_1k_pfba,n_internal_over_1k_no_pfba,max_abs_flux_drop,max_abs_flux_drop_ratio,n_rxn_over_1k_drop
MBS1232,0,0.5327387259166994,43949989.21080714,0.5327387259166992,3949247.445432582,1000,413,0,15,0,398,0,3948247.445432582,3949.247445432582,413
MBS1529,0,0.5487694757250786,14600044.970175909,0.5487694757250787,1203716.2036213907,1000,329,0,11,0,318,0,1202716.2036213907,1203.7162036213908,329
MBS1262,0,0.47637527872492297,1017881.5868597084,0.47637527872492297,520448.2247830293,1000,362,0,11,0,351,0,519448.2247830293,520.4482247830293,362
MBS1255,0,0.39281193978527673,4842108.654943753,0.39281193978527673,317377.1689093368,1000,373,0,21,0,352,0,316377.1689093368,317.3771689093368,373
