cohort,age_group,species_name,n_subjects,n_positive,pct_positive,median_abundance,mean_abundance,p25_abundance,p75_abundance,max_abundance
CRE,71_80,Bacteroides dorei,11,11,100.0,2.1522853740001,2.341938994815786,1.5561722298674399,2.3658000574213247,5.14851421114864
SPMP,41_60,Bacteroides dorei,28,19,67.86,0.3209686642584645,1.3191912586909245,0.0,1.0132246184060665,9.26727360884373
SPMP,61_70,Bacteroides dorei,20,12,60.0,0.13041056534905998,1.0964742158861498,0.0,0.9744883915986918,8.17508697765014
SPMP,71_80,Bacteroides dorei,2,1,50.0,0.0534191221948135,0.0534191221948135,0.02670956109740675,0.08012868329222025,0.106838244389627
SG90,71_80,Bacteroides dorei,20,18,90.0,1.29433138870446,3.7814142124237775,0.5616504395906382,6.6872338440640755,15.3434617869911
SG90,81_90,Bacteroides dorei,169,130,76.92,0.676254329876683,3.6748304699466177,0.106374373526964,3.10610712571343,39.1707998142986
SG90,91_100,Bacteroides dorei,26,17,65.38,0.3844120975124675,5.225482503408133,0.0,2.0645643245059775,40.7957207370378
all_cohort,21_40,Bacteroides xylanisolvens,91,42,46.15,0.0,0.34131700805953885,0.0,0.36744427051914597,4.93760575723188
all_cohort,41_60,Bacteroides xylanisolvens,140,61,43.57,0.0,0.2636791573049546,0.0,0.26976386802588204,3.03823917405424
all_cohort,61_70,Bacteroides xylanisolvens,57,26,45.61,0.0,0.24351899759139412,0.0,0.347224264247359,1.66634458819779
all_cohort,71_80,Bacteroides xylanisolvens,33,17,51.52,0.115359973618099,0.2640981099270727,0.0,0.467466216340571,1.96387941973333
all_cohort,81_90,Bacteroides xylanisolvens,169,101,59.76,0.178305668362581,0.7689659123782739,0.0,0.581224805018551,16.0127770462619
all_cohort,91_100,Bacteroides xylanisolvens,26,14,53.85,0.1419470553660855,0.3962593266204241,0.0,0.2889918225144853,5.18973976897372
T2D,21_40,Bacteroides xylanisolvens,73,37,50.68,0.104383551278331,0.40161062846493584,0.0,0.434522288690969,4.93760575723188
T2D,41_60,Bacteroides xylanisolvens,89,46,51.69,0.114765431799508,0.33486039577403676,0.0,0.387764718060841,3.03823917405424
T2D,61_70,Bacteroides xylanisolvens,9,4,44.44,0.0,0.36116108545942044,0.0,0.569432611152152,1.66634458819779
CRE,21_40,Bacteroides xylanisolvens,18,5,27.78,0.0,0.0967928808598735,0.0,0.10443206821380827,0.730225881131314
CRE,41_60,Bacteroides xylanisolvens,23,7,30.43,0.0,0.07450827399593174,0.0,0.122484981606845,0.400566651798923
CRE,61_70,Bacteroides xylanisolvens,28,15,53.57,0.15790834295877448,0.2741883332373821,0.0,0.40321823156643954,1.22733230313838
CRE,71_80,Bacteroides xylanisolvens,11,3,27.27,0.0,0.08566341195024127,0.0,0.0576799868090495,0.447190095606437
SPMP,41_60,Bacteroides xylanisolvens,28,8,28.57,0.0,0.19281487488921237,0.0,0.1918165875244065,1.59629408112889
SPMP,61_70,Bacteroides xylanisolvens,20,7,35.0,0.0,0.14764298814639906,0.0,0.117620211669245,1.43307662706204
SPMP,71_80,Bacteroides xylanisolvens,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SG90,71_80,Bacteroides xylanisolvens,20,14,70.0,0.207204772162898,0.38864700480703723,0.0,0.5100880340008644,1.96387941973333
SG90,81_90,Bacteroides xylanisolvens,169,101,59.76,0.178305668362581,0.7689659123782739,0.0,0.581224805018551,16.0127770462619
SG90,91_100,Bacteroides xylanisolvens,26,14,53.85,0.1419470553660855,0.3962593266204241,0.0,0.2889918225144853,5.18973976897372
all_cohort,21_40,Bilophila wadsworthia,91,19,20.88,0.0,0.03146187184187532,0.0,0.0,0.223784753892049
all_cohort,41_60,Bilophila wadsworthia,140,16,11.43,0.0,0.030879916010688263,0.0,0.0,1.11591651094423
all_cohort,61_70,Bilophila wadsworthia,57,5,8.77,0.0,0.0183527298676263,0.0,0.0,0.41622367177721
